comm_code,comm_name,total_requests,avg_days,fast_rate,slow_rate,equity_score
RAN,RANCHLANDS,8,1.875,87.5%,12.5%,87.5%
MRT,MARTINDALE,3,0,100.0%,0.0%,100.0%
WHL,WEST HILLHURST,9,6.555555556,66.7%,22.2%,77.8%
AUB,AUBURN BAY,4,32.75,25.0%,50.0%,50.0%
HIL,HILLHURST,14,8,50.0%,21.4%,78.6%
DDG,DOUGLASDALE/GLEN,2,0,100.0%,0.0%,100.0%
06B,06B,2,29.5,0.0%,100.0%,0.0%
HSD,HOMESTEAD,2,2,50.0%,0.0%,100.0%
WAL,WALDEN,5,12.8,60.0%,40.0%,60.0%
MRL,MARLBOROUGH,4,19.75,50.0%,50.0%,50.0%
RID,RIDEAU PARK,1,0,100.0%,0.0%,100.0%
ERI,ERIN WOODS,4,28.75,0.0%,50.0%,50.0%
LEG,LEGACY,2,1.5,100.0%,0.0%,100.0%
BVD,BELVEDERE,1,53,0.0%,100.0%,0.0%
BRE,BRENTWOOD,8,5.375,62.5%,12.5%,87.5%
SHN,SHAWNESSY,6,3.833333333,50.0%,0.0%,100.0%
TUS,TUSCANY,6,11.66666667,66.7%,33.3%,66.7%
BLM,BELMONT,5,3.8,80.0%,20.0%,80.0%
COA,COACH HILL,4,17.25,50.0%,50.0%,50.0%
WIL,WILLOW PARK,6,10.83333333,66.7%,33.3%,66.7%
MNI,MANCHESTER INDUSTRIAL,8,13.75,62.5%,37.5%,62.5%
11B,11B,1,1,100.0%,0.0%,100.0%
DRG,DEER RIDGE,2,0,100.0%,0.0%,100.0%
CHR,CHRISTIE PARK,2,0,100.0%,0.0%,100.0%
FHT,FOREST HEIGHTS,1,0,100.0%,0.0%,100.0%
PKD,PARKDALE,1,0,100.0%,0.0%,100.0%
SIL,SILVER SPRINGS,9,2.555555556,77.8%,0.0%,100.0%
GLA,GLAMORGAN,5,34,40.0%,60.0%,40.0%
PIN,PINERIDGE,3,0,100.0%,0.0%,100.0%
